First Name,Last Name,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,DOB
Tom,Aaron,,,70.31,,,5,3,0,1978-07-13
Danny,Abbadi,The Assassin,180.34,70.31,,Orthodox,4,6,0,1983-07-03
David,Abbott,Tank,182.88,120.2,,Switch,10,15,0,
Shamil,Abdurakhimov,Abrek,190.5,106.59,193.04,Orthodox,20,6,0,1981-09-02
Hiroyuki,Abe,Abe Ani,167.64000000000001,65.77,,Orthodox,8,15,3,
Daichi,Abe,,180.34,77.11,180.34,Orthodox,6,2,0,1991-11-27
Papy,Abedi,Makambo,180.34,83.91,,Southpaw,10,4,0,1978-06-30
Ricardo,Abreu,Demente,180.34,83.91,,Orthodox,5,1,0,1984-04-27
Klidson,Abreu,White Bear,182.88,92.99,187.96,Orthodox,15,4,0,1992-12-24
Daniel,Acacio,,172.72,81.65,,Orthodox,30,18,0,1977-12-27
Scott,Adams,,182.88,102.06,,Southpaw,8,1,0,
Juan,Adams,The Kraken,195.58,120.2,203.2,Orthodox,5,3,0,1992-01-16
Anthony,Adams,Sugafoot,185.42000000000002,83.91,193.04,Orthodox,8,2,0,1988-01-13
Zarrukh,Adashev,The Lion,165.1,56.7,165.1,Southpaw,4,3,0,1992-07-29
Israel,Adesanya,The Last Stylebender,193.04,83.91,203.2,Switch,21,1,0,1989-07-22
Sam,Adkins,The Experience,190.5,102.06,,Orthodox,7,20,2,1965-04-26
Nick,Agallar,,172.72,70.31,,Orthodox,24,6,0,1979-01-13
Mariya,Agapova,,167.64000000000001,56.7,172.72,Southpaw,10,2,0,1997-04-07
Marcelo,Aguiar,,177.8,77.11,,Orthodox,2,3,1,
Fabio,Aguiar,,182.88,83.91,,,17,1,0,1988-02-10
Edwin,Aguilar,Tigre,177.8,83.91,,,26,19,0,
Jessica,Aguilar,Jag,160.02,52.16,160.02,Orthodox,20,8,0,1982-05-08
Kevin,Aguilar,Angel of Death,170.18,70.31,185.42000000000002,Orthodox,17,5,0,1988-09-07
Christian,Aguilera,The Beast,175.26,77.11,182.88,Switch,14,8,0,1991-11-25
Mike,Aina,Iron,175.26,70.31,,Orthodox,14,6,1,
Hitomi,Akano,Girlfight Monster,162.56,61.23,,Southpaw,18,10,0,1974-07-27
Omari,Akhmedov,Wolverine,182.88,83.91,185.42000000000002,Orthodox,21,6,1,1987-10-12
Yoshihiro,Akiyama,,177.8,77.11,190.5,Orthodox,14,6,0,1975-07-29
Rostem,Akman,,177.8,77.11,182.88,Switch,6,2,0,1991-12-19
