W/L,Fighter,Kd,Str,Td,Sub,Weight class,Method,Round,Time,Event
,Paulo Costa  Marvin Vettori,,,View Matchup,,Light Heavyweight,,,,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
,Grant Dawson  Ricky Glenn,,,View Matchup,,Lightweight,,,,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
,Jessica-Rose Clark  Joselyne Edwards,,,View Matchup,,Women's Bantamweight,,,,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
,Alex Caceres  SeungWoo Choi,,,View Matchup,,Featherweight,,,,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
,Francisco Trinaldo  Dwight Grant,,,View Matchup,,Welterweight,,,,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Nicolae Negumereanu  Ike Villanueva,0  0,11  7,0  0,0  0,Light Heavyweight,KO/TKO  Punches,1.0,1:18,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Gregory Rodrigues  Junyong Park,0  0,68  56,2  0,0  0,Middleweight,KO/TKO  Punch,2.0,3:13,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Mason Jones  David Onama,0  0,87  90,8  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Tabatha Ricci  Maria Oliveira,0  0,62  66,5  0,0  0,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Jamie Pickett  Laureano Staropoli,0  0,47  25,2  1,0  0,Middleweight,U-DEC,3.0,5:00,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Jai Herbert  Khama Worthy,1  0,24  11,0  0,0  0,Lightweight,KO/TKO  Punches,1.0,2:47,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Jeff Molina  Daniel Da Silva,1  0,47  20,0  0,0  0,Flyweight,KO/TKO  Punches,2.0,0:46,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Randa Markos  Livinha Souza,0  0,65  11,0  3,0  2,Women's Strawweight,U-DEC,3.0,5:00,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Jonathan Martinez  Zviad Lazishvili,0  0,92  63,0  0,0  0,Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Costa vs. Vettori  October 23, 2021"
win,Norma Dumont  Aspen Ladd,0  0,65  33,1  0,0  0,Women's Featherweight,U-DEC,5.0,5:00,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Andrei Arlovski  Carlos Felipe,0  0,83  73,0  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Jim Miller  Erick Gonzalez,1  0,32  14,1  1,0  0,Lightweight,KO/TKO  Punch,2.0,0:14,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Manon Fiorot  Mayra Bueno Silva,0  0,91  48,2  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Nate Landwehr  Ludovit Klein,0  0,71  42,1  0,2  0,Featherweight,SUB  Anaconda Choke,3.0,2:22,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Bruno Silva  Andrew Sanchez,0  0,70  33,0  7,0  0,Middleweight,KO/TKO  Punches,3.0,2:35,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Danny Roberts  Ramazan Emeev,0  0,34  40,1  2,0  1,Welterweight,S-DEC,3.0,5:00,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Luana Carolina  Loopy Godinez,0  0,53  23,0  2,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Danaa Batgerel  Brandon Davis,1  0,22  7,0  0,0  0,Bantamweight,KO/TKO  Punches,1.0,2:01,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Ariane Carnelossi  Istela Nunes,0  0,36  62,5  0,1  0,Women's Strawweight,SUB  Rear Naked Choke,3.0,2:57,"UFC Fight Night: Ladd vs. Dumont  October 16, 2021"
win,Marina Rodriguez  Mackenzie Dern,0  0,144  49,0  1,1  1,Women's Strawweight,U-DEC,5.0,5:00,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Randy Brown  Jared Gooden,0  0,115  81,0  0,0  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Matheus Nicolau  Tim Elliott,0  0,64  70,1  1,0  0,Flyweight,U-DEC,3.0,5:00,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Mariya Agapova  Sabina Mazo,1  0,93  62,0  0,1  0,Women's Flyweight,SUB  Rear Naked Choke,3.0,0:53,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Chris Gutierrez  Felipe Colares,0  0,96  41,0  1,0  0,Bantamweight,S-DEC,3.0,5:00,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Alexandr Romanov  Jared Vanderaa,0  0,56  13,5  0,0  0,Heavyweight,KO/TKO  Punches,2.0,4:43,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Damon Jackson  Charles Rosa,0  0,41  34,6  2,2  0,Featherweight,U-DEC,3.0,5:00,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Loopy Godinez  Silvana Gomez Juarez,0  0,11  3,5  0,1  0,Women's Strawweight,SUB  Armbar,1.0,4:14,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Steve Garcia  Charlie Ontiveros,0  2,34  7,3  0,0  0,Lightweight,KO/TKO  Punches,2.0,1:51,"UFC Fight Night: Dern vs. Rodriguez  October 09, 2021"
win,Thiago Santos  Johnny Walker,0  0,44  48,0  0,0  0,Light Heavyweight,U-DEC,5.0,5:00,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
nc  nc,Kevin Holland  Kyle Daukaus,0  0,3  9,0  1,0  3,Middleweight,Other,1.0,3:43,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Niko Price  Alex Oliveira,0  0,64  65,1  1,0  0,Welterweight,U-DEC,3.0,5:00,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Krzysztof Jotko  Misha Cirkunov,0  0,41  41,1  5,0  0,Middleweight,S-DEC,3.0,5:00,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Alexander Hernandez  Mike Breeden,1  0,20  6,0  0,0  0,Lightweight,KO/TKO  Punch,1.0,1:20,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Jared Gordon  Joe Solecki,0  0,51  38,1  4,0  0,Lightweight,S-DEC,3.0,5:00,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Casey O'Neill  Antonina Shevchenko,0  0,52  40,3  0,0  0,Women's Flyweight,KO/TKO  Punches,2.0,4:47,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Karol Rosa  Bethe Correia,0  0,125  62,0  0,0  0,Women's Bantamweight,U-DEC,3.0,5:00,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Jamie Mullarkey  Devonte Smith,1  0,55  29,1  0,0  0,Lightweight,KO/TKO  Punches,2.0,2:51,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Douglas Silva de Andrade  Gaetano Pirrello,1  0,10  5,0  0,0  0,Bantamweight,KO/TKO  Punch,1.0,2:04,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Stephanie Egger  Shanna Young,0  0,29  22,2  0,0  2,Women's Bantamweight,KO/TKO  Elbow,2.0,2:22,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Alejandro Perez  Johnny Eduardo,0  0,23  31,1  1,2  0,Bantamweight,SUB  Armbar,2.0,4:13,"UFC Fight Night: Santos vs. Walker  October 02, 2021"
win,Alexander Volkanovski  Brian Ortega,0  0,214  88,0  2,0  3,Featherweight,U-DEC,5.0,5:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Valentina Shevchenko  Lauren Murphy,0  0,98  11,3  0,0  0,Women's Flyweight,KO/TKO  Punches,4.0,4:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Robbie Lawler  Nick Diaz,0  0,131  150,0  0,0  0,Middleweight,KO/TKO  Punch,3.0,0:44,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Curtis Blaydes  Jairzinho Rozenstruik,0  0,32  18,3  0,0  0,Heavyweight,U-DEC,3.0,5:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Jessica Andrade  Cynthia Calvillo,0  0,48  27,0  0,0  0,Women's Flyweight,KO/TKO  Punches,1.0,4:54,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Merab Dvalishvili  Marlon Moraes,0  1,69  29,4  0,0  0,Bantamweight,KO/TKO  Punches,2.0,4:25,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Dan Hooker  Nasrat Haqparast,0  0,73  27,3  0,0  0,Lightweight,U-DEC,3.0,5:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Chris Daukaus  Shamil Abdurakhimov,2  0,38  23,0  0,0  0,Heavyweight,KO/TKO  Punch,2.0,1:23,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Taila Santos  Roxanne Modafferi,1  0,55  18,5  0,0  0,Women's Flyweight,U-DEC,3.0,5:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Jalin Turner  Uros Medic,0  0,25  6,1  0,1  0,Lightweight,SUB  Rear Naked Choke,1.0,4:01,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Nick Maximov  Cody Brundage,0  0,14  28,4  0,0  1,Middleweight,U-DEC,3.0,5:00,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Matthew Semelsberger  Martin Sano,1  0,3  1,0  0,0  0,Welterweight,KO/TKO  Punch,1.0,0:15,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Jonathan Pearce  Omar Morales,0  0,12  12,6  0,1  0,Featherweight,SUB  Rear Naked Choke,2.0,3:31,"UFC 266: Volkanovski vs. Ortega  September 25, 2021"
win,Anthony Smith  Ryan Spann,2  0,17  8,0  0,1  0,Light Heavyweight,SUB  Rear Naked Choke,1.0,3:47,"UFC Fight Night: Smith vs. Spann  September 18, 2021"
