First Name,Last Name,Nickname,Height,Weight,Reach,Stance,Wins,Losses,Draws,DOB
Tom,Aaron,,,155,,,5,3,0,13/07/1978
Danny,Abbadi,The Assassin,71,155,,Orthodox,4,6,0,03/07/1983
David,Abbott,Tank,72,265,,Switch,10,15,0,
Shamil,Abdurakhimov,Abrek,75,235,76,Orthodox,20,6,0,02/09/1981
Hiroyuki,Abe,Abe Ani,66,145,,Orthodox,8,15,3,
Daichi,Abe,,71,170,71,Orthodox,6,2,0,27/11/1991
Papy,Abedi,Makambo,71,185,,Southpaw,10,4,0,30/06/1978
Ricardo,Abreu,Demente,71,185,,Orthodox,5,1,0,27/04/1984
Klidson,Abreu,White Bear,72,205,74,Orthodox,15,4,0,24/12/1992
Daniel,Acacio,,68,180,,Orthodox,30,18,0,27/12/1977
Scott,Adams,,72,225,,Southpaw,8,1,0,
Juan,Adams,The Kraken,77,265,80,Orthodox,5,3,0,16/01/1992
Anthony,Adams,Sugafoot,73,185,76,Orthodox,8,2,0,13/01/1988
Zarrukh,Adashev,The Lion,65,125,65,Southpaw,4,3,0,29/07/1992
Israel,Adesanya,The Last Stylebender,76,185,80,Switch,21,1,0,22/07/1989
Sam,Adkins,The Experience,75,225,,Orthodox,7,20,2,26/04/1965
Nick,Agallar,,68,155,,Orthodox,24,6,0,13/01/1979
Mariya,Agapova,,66,125,68,Southpaw,10,2,0,07/04/1997
Marcelo,Aguiar,,70,170,,Orthodox,2,3,1,
Fabio,Aguiar,,72,185,,,17,1,0,10/02/1988
Edwin,Aguilar,Tigre,70,185,,,26,19,0,
Jessica,Aguilar,Jag,63,115,63,Orthodox,20,8,0,08/05/1982
Kevin,Aguilar,Angel of Death,67,155,73,Orthodox,17,5,0,07/09/1988
Christian,Aguilera,The Beast,69,170,72,Switch,14,8,0,25/11/1991
Mike,Aina,Iron,69,155,,Orthodox,14,6,1,
Hitomi,Akano,Girlfight Monster,64,135,,Southpaw,18,10,0,27/07/1974
Omari,Akhmedov,Wolverine,72,185,73,Orthodox,21,6,1,12/10/1987
Yoshihiro,Akiyama,,70,170,75,Orthodox,14,6,0,29/07/1975
Rostem,Akman,,70,170,72,Switch,6,2,0,19/12/1991
Razak,Al-Hassan,,74,205,,Orthodox,13,5,0,14/05/1982
Mostapha,Al-Turk,,74,245,77,Orthodox,6,6,0,14/07/1973
Herdem,Alacabek,,74,205,75,Orthodox,5,1,0,07/06/1991
Javi,Alanis,,66,135,,,0,4,0,
,Alatengheili,The Mongolian Knight,65,135,66,Orthodox,14,8,2,14/12/1991
Amir,Albazi,The Prince,65,125,68,Orthodox,14,1,0,27/10/1993
Brett,Albee,,,225,,,3,2,0,
John,Albert,Prince,68,135,68,Orthodox,6,5,0,13/10/1986
Junior,Albini,Baby,75,264,74,Orthodox,14,6,0,15/03/1991
Wes,Albritton,,70,188,,Orthodox,0,1,0,
Aleksandra,Albu,Stitch,62,115,63,Orthodox,3,2,0,14/07/1990
Israel,Albuquerque,,,185,,Orthodox,0,3,0,
Juan,Alcain,,,,,,1,2,0,
Iuri,Alcantara,Marajo,69,135,71,Southpaw,35,10,0,04/08/1980
Ildemar,Alcantara,Marajo,74,185,78,Orthodox,21,11,0,18/11/1982
Alfonso,Alcarez,,63,145,,,1,3,1,10/06/1970
Gilbert,Aldana,El Peligro,73,250,,Orthodox,6,2,0,25/08/1977
Irene,Aldana,,69,135,68,Orthodox,13,6,0,26/03/1988
Hector,Aldana,,71,170,72,Orthodox,4,3,0,17/08/1988
Jose,Alday,Pochito,67,135,68,Orthodox,14,6,1,14/09/1991
Jose,Aldo,,67,135,70,Orthodox,30,7,0,09/09/1986
JJ,Aldrich,,65,125,67,Southpaw,10,4,0,29/09/1992
Jim,Alers,The Beast,69,145,71,Orthodox,13,3,0,14/10/1986
John,Alessio,The Natural,70,155,72,Orthodox,35,17,0,05/07/1979
Houston,Alexander,The Assassin,72,205,72,Orthodox,17,15,1,22/03/1972
Kenneth,Alexander,The Machine,69,155,,Orthodox,7,6,0,25/09/1977
Marcio,Alexandre Junior,Lyoto,72,185,75,Southpaw,17,4,0,05/05/1989
Olaf,Alfonso,,74,170,,Orthodox,8,12,0,06/08/1974
Pablo,Alfonso,The Hurricane,68,145,,,9,7,0,09/05/1983
Levi,Alford,,,,,,1,7,0,
Bill,Algeo,Senor Perfecto,72,145,73,Switch,14,6,0,09/06/1989
Royce,Alger,,70,199,,Orthodox,3,2,0,
Amir,Aliakbari,,75,250,,,10,1,0,10/06/1984
Sultan,Aliev,,71,170,74,Orthodox,15,3,0,17/09/1984
John,Allan,,73,205,75,Orthodox,13,6,0,22/02/1993
George,Allen,,74,205,,Open Stance,13,19,2,13/01/1967
Arnold,Allen,Almighty,68,145,70,Southpaw,17,1,0,22/01/1994
Brendan,Allen,All In,74,185,75,Orthodox,17,4,0,28/12/1995
Ben,Alloway,Blanco,71,170,76,Orthodox,18,8,0,19/02/1981
Ricardo,Almeida,Big Dog,72,170,74,Orthodox,13,5,0,29/11/1976
Magno,Almeida,,72,155,,,10,3,0,06/06/1985
Thomas,Almeida,Thominhas,67,145,70,Southpaw,22,5,0,31/07/1991
Ericka,Almeida,,66,115,,Orthodox,7,3,0,05/03/1989
Estefani,Almeida,,64,125,,Orthodox,7,3,0,17/10/1988
Jailton,Almeida,Malhadinho,75,205,79,Orthodox,14,2,0,26/06/1991
Lucas,Almeida,,71,155,71,Orthodox,12,1,0,13/01/1991
Mauricio,Alonso,,74,170,,,13,7,0,27/02/1980
Sarah,Alpar,Too Sweet,64,135,63,Southpaw,9,6,0,01/06/1991
Ali,AlQaisi,The Royal Fighter,66,135,68,Orthodox,8,5,0,23/09/1990
Rico,Altamirano,,70,170,,,4,3,0,
Victor,Altamirano,El Magnifico,68,125,70,Switch,10,1,0,23/01/1991
Mike,Altman,,70,185,,Orthodox,1,4,0,
Sean,Alvarez,,72,235,,Orthodox,4,3,0,14/07/1971
Eddie,Alvarez,,69,155,69,Orthodox,29,6,0,11/01/1984
Jaime,Alvarez,,68,125,69,Orthodox,6,1,0,08/03/1988
Joel,Alvarez,El Fenomeno,75,155,77,Orthodox,18,2,0,02/03/1994
Thiago,Alves,Pitbull,69,170,70,Orthodox,23,15,0,03/10/1983
Anthony,Alves,,,,,,1,4,0,
Amilcar,Alves,,72,170,,Southpaw,15,12,0,08/08/1988
Warlley,Alves,,71,170,72,Orthodox,15,5,0,04/01/1991
Rafael,Alves,The Turn,68,155,68,Orthodox,19,10,0,10/10/1990
Sam,Alvey,Smile'N,74,185,75,Southpaw,33,16,1,06/05/1986
Andre,Amado,Dida,72,154,,Orthodox,6,4,1,
Adlan,Amagov,Borz,74,170,76,Orthodox,14,2,1,30/10/1986
