Event,Fighter 1,KD F_1,Sig. str. landed F_1,Sig. str. thrown F_1,Sig. str. % F_1,Total str. landed F_1,Total str. thrown F_1,Td completed F_1,Td attempted F_1,Td % F_1,Sub. att F_1,Rev. F_1,Ctrl F_1,Head landed F_1,Head thrown F_1,Body landed F_1,Body thrown F_1,Leg landed F_1,Leg thrown F_1,Distance landed F_1,Distance thrown F_1,Clinch landed F_1,Clinch thrown F_1,Ground landed F_1,Ground thrown F_1,Fighter 2,KD F_2,Sig. str. landed F_2,Sig. str. thrown F_2,Sig. str. % F_2,Total str. landed F_2,Total str. thrown F_2,Td completed F_2,Td attempted F_2,Td % F_2,Sub. att F_2,Rev. F_2,Ctrl F_2,Head landed F_2,Head thrown F_2,Body landed F_2,Body thrown F_2,Leg landed F_2,Leg thrown F_2,Distance landed F_2,Distance thrown F_2,Clinch landed F_2,Clinch thrown F_2,Ground landed F_2,Ground thrown F_2
UFC 246: McGregor vs. Cowboy,Sabina Mazo,0,118,323,0.36,121,327,0,0,,0,0,121.0,66,258,29,34,23,31,92,292,26,31,0,0,JJ Aldrich,0,58,144,0.4,69,156,0,0,,0,0,3.0,45,125,10,13,3,6,49,132,9,12,0,0
UFC 32: Showdown in the Meadowlands,Tony DeSouza,0,1,3,0.33,1,3,0,0,,2,0,32.0,1,3,0,0,0,0,1,3,0,0,0,0,Paul Rodriguez,0,2,2,1.0,2,2,0,1,0.0,0,0,0.0,0,0,0,0,2,2,2,2,0,0,0,0
UFC 166: Velasquez vs Dos Santos 3,Cain Velasquez,1,123,201,0.61,274,378,2,13,0.15,1,0,1048.0,96,168,7,8,20,25,44,84,66,99,13,18,Junior Dos Santos,0,46,122,0.37,62,140,0,1,0.0,1,0,2.0,36,106,10,16,0,0,24,84,21,37,1,1
UFC 200: Tate vs Nunes,Johny Hendricks,0,70,157,0.44,90,177,1,5,0.2,0,0,129.0,51,134,5,7,14,16,58,135,12,22,0,0,Kelvin Gastelum,0,124,249,0.49,134,259,0,1,0.0,0,0,21.0,89,211,19,22,16,16,114,235,10,14,0,0
UFC 98: Evans vs Machida,Brock Larson,0,4,10,0.4,13,19,1,1,1.0,1,0,128.0,2,8,2,2,0,0,0,3,0,0,4,7,Mike Pyle,0,1,4,0.25,3,6,0,0,,0,0,0.0,1,1,0,0,0,3,0,3,1,1,0,0
UFC Fight Night: Barboza vs. Gaethje,Enrique Barzola,0,52,126,0.41,53,127,0,8,0.0,0,0,30.0,28,96,9,13,15,17,50,121,2,5,0,0,Kevin Aguilar,0,58,243,0.23,58,243,0,0,,0,0,0.0,36,208,20,31,2,4,58,240,0,3,0,0
UFC Fight Night: Covington vs. Lawler,Colby Covington,0,179,515,0.34,201,541,10,18,0.55,0,0,523.0,128,454,20,28,31,33,154,477,25,38,0,0,Robbie Lawler,0,78,167,0.46,82,171,0,0,,0,0,0.0,61,144,10,16,7,7,66,152,12,15,0,0
UFC Fight Night: Smith vs. Rakic,Anthony Smith,0,9,21,0.42,40,53,0,2,0.0,0,0,36.0,5,16,0,1,4,4,6,14,1,2,2,5,Aleksandar Rakic,1,44,57,0.77,141,159,0,0,,0,0,734.0,16,28,7,8,21,21,25,34,2,2,17,21
UFC Fight Night: Rodriguez vs. Caceres,David Teymur,1,26,61,0.42,26,61,0,1,0.0,0,0,2.0,10,40,5,6,11,15,26,58,0,3,0,0,Jason Novelli,0,8,28,0.28,9,29,0,0,,0,0,23.0,3,18,2,5,3,5,7,25,1,3,0,0
UFC on FOX: Johnson vs Moraga,Michael Chiesa,1,24,53,0.45,35,66,2,5,0.4,0,0,162.0,18,46,5,6,1,1,23,51,1,1,0,1,Jorge Masvidal,0,24,38,0.63,66,86,0,0,,2,0,192.0,15,29,9,9,0,0,17,31,0,0,7,7
UFC on FOX: Maia vs. Condit,Sam Alvey,2,59,114,0.51,70,125,0,0,,0,0,31.0,36,88,13,15,10,11,29,72,17,19,13,23,Kevin Casey,0,25,51,0.49,31,58,0,2,0.0,0,0,156.0,11,35,7,9,7,7,21,47,4,4,0,0
UFC on FOX: Lawler vs Brown,Robbie Lawler,0,80,200,0.4,87,207,2,2,1.0,0,0,237.0,64,182,13,15,3,3,68,182,7,10,5,8,Matt Brown,0,82,242,0.33,89,250,2,8,0.25,0,0,70.0,45,182,26,38,11,22,69,228,13,14,0,0
UFC 57: Liddell vs Couture 3,Joe Riggs,0,51,116,0.43,69,135,3,8,0.37,0,0,125.0,42,105,9,11,0,0,28,70,21,40,2,6,Nick Diaz,1,38,106,0.35,126,200,0,7,0.0,1,0,202.0,23,82,10,17,5,7,15,68,21,34,2,4
UFC Fight Night: Jacare vs. Brunson 2,Randa Markos,0,46,65,0.7,114,149,2,7,0.28,0,1,552.0,11,25,10,11,25,29,4,14,29,33,13,18,Juliana Lima,0,18,37,0.48,34,56,1,2,0.5,0,0,190.0,5,11,5,11,8,15,6,23,12,14,0,0
UFC Fight Night: Dern vs. Rodriguez,Randy Brown,0,115,235,0.48,117,237,0,1,0.0,0,0,6.0,81,196,25,29,9,10,109,227,5,7,1,1,Jared Gooden,0,81,156,0.51,87,162,0,0,,0,0,44.0,19,76,27,36,35,44,78,151,3,3,0,2
UFC 175: Weidman vs Machida,Luke Zachrich,0,66,226,0.29,66,226,1,1,1.0,0,0,1.0,49,205,8,11,9,10,66,223,0,3,0,0,Guilherme Vasconcelos,0,49,166,0.29,49,166,0,3,0.0,0,0,0.0,29,135,9,19,11,12,48,164,1,2,0,0
UFC Fight Night: Gonzaga vs Cro Cop 2,Daniel Omielanczuk,0,36,44,0.81,81,91,1,3,0.33,0,0,90.0,16,23,17,18,3,3,3,5,27,33,6,6,Anthony Hamilton,0,83,100,0.83,113,131,3,4,0.75,0,0,746.0,29,44,51,53,3,3,3,12,44,47,36,41
Ortiz vs Shamrock 3: The Final Chapter,Rory Singer,0,50,123,0.4,57,130,0,1,0.0,0,0,76.0,44,117,5,5,1,1,38,100,12,22,0,1,Josh Haynes,1,23,101,0.22,32,113,1,6,0.16,0,0,174.0,15,87,4,9,4,5,12,74,2,7,9,20
UFC on FUEL TV: Barao vs McDonald,Tom Watson,1,56,102,0.54,72,118,0,0,,0,0,264.0,31,66,23,34,2,2,3,16,50,81,3,5,Stanislav Nedkov,0,39,78,0.5,61,102,5,6,0.83,0,0,160.0,26,62,13,16,0,0,5,18,19,29,15,31
UFC 193: Rousey vs Holm,Kyle Noke,1,23,43,0.53,24,44,0,0,,0,0,0.0,13,30,2,4,8,9,11,21,0,0,12,22,Peter Sobotta,0,2,6,0.33,2,6,0,0,,0,0,14.0,2,5,0,1,0,0,2,6,0,0,0,0
UFC Fight Night: Brunson vs. Shahbazyan,Jamall Emmers,0,103,196,0.52,113,209,5,7,0.71,0,0,347.0,58,143,37,44,8,9,78,164,23,30,2,2,Vince Cachero,0,76,152,0.5,121,201,0,2,0.0,0,0,28.0,58,127,10,15,8,10,62,132,11,17,3,3
UFC on FUEL TV: Munoz vs Weidman,Chris Cariaso,0,70,104,0.67,114,150,3,6,0.5,0,0,258.0,48,82,18,18,4,4,34,65,20,23,16,16,Josh Ferguson,0,20,65,0.3,33,79,1,8,0.12,0,0,231.0,12,56,7,8,1,1,15,58,5,7,0,0
UFC Fight Night: Cerrone vs. Medeiros,Thiago Alves,0,33,106,0.31,37,110,1,1,1.0,0,0,14.0,3,63,3,3,27,40,33,106,0,0,0,0,Curtis Millender,2,47,106,0.44,47,106,0,0,,0,0,15.0,31,85,7,10,9,11,44,100,0,0,3,6
UFC Fight Night - Fight for the Troops,Steve Cantwell,0,15,29,0.51,19,33,1,1,1.0,1,0,78.0,9,22,4,5,2,2,12,24,1,2,2,3,Razak Al-Hassan,0,13,56,0.23,15,58,0,1,0.0,0,0,17.0,5,46,2,3,6,7,12,53,1,3,0,0
UFC on FOX: Diaz vs Miller,John Dodson,0,80,233,0.34,83,236,2,4,0.5,0,0,12.0,54,200,17,24,9,9,78,226,2,6,0,1,Tim Elliott,0,79,225,0.35,81,227,0,5,0.0,0,0,2.0,64,192,11,28,4,5,67,203,12,22,0,0
UFC 106: Ortiz vs Griffin 2,Josh Koscheck,0,19,53,0.35,40,74,2,4,0.5,1,0,239.0,15,44,2,5,2,4,10,38,0,0,9,15,Anthony Johnson,0,16,72,0.22,17,74,0,1,0.0,0,0,43.0,9,58,0,4,7,10,15,70,0,0,1,2
UFC 79: Nemesis,Eddie Sanchez,0,52,115,0.45,145,212,1,5,0.2,0,0,201.0,39,98,9,10,4,7,28,79,24,35,0,1,Soa Palelei,0,21,37,0.56,27,43,1,1,1.0,0,0,349.0,6,18,8,12,7,7,5,15,16,20,0,2
UFC 214: Cormier vs. Jones 2,Eric Shelton,0,31,87,0.35,65,123,1,2,0.5,1,0,37.0,26,79,5,8,0,0,19,73,1,2,11,12,Jarred Brooks,0,27,80,0.33,32,87,5,8,0.62,1,0,218.0,15,66,7,9,5,5,20,72,2,3,5,5
UFC Fight Night: Smith vs. Clark,Anthony Smith,0,1,4,0.25,4,8,1,1,1.0,1,0,78.0,1,4,0,0,0,0,0,2,0,0,1,2,Devin Clark,0,1,3,0.33,27,30,0,0,,0,1,67.0,1,3,0,0,0,0,1,3,0,0,0,0
UFC 11: The Proving Ground,David Abbott,0,8,9,0.88,16,17,1,1,1.0,1,0,,5,6,3,3,0,0,0,0,0,0,8,9,Sam Adkins,0,0,2,0.0,3,5,0,0,,0,0,,0,2,0,0,0,0,0,2,0,0,0,0
UFC 229: Khabib vs. McGregor,Tony Ferguson,0,114,194,0.58,115,195,0,0,,0,0,4.0,66,131,21,32,27,31,106,181,4,7,4,6,Anthony Pettis,1,45,99,0.45,49,104,0,0,,0,0,71.0,32,80,9,13,4,6,38,90,2,3,5,6
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,Rob Kimmons,0,9,13,0.69,25,29,1,1,1.0,4,0,93.0,9,13,0,0,0,0,1,2,0,0,8,11,Rob Yundt,0,5,6,0.83,45,46,1,1,1.0,0,0,132.0,0,1,5,5,0,0,1,1,0,0,4,5
UFC 249: Ferguson vs. Gaethje,Bryce Mitchell,0,40,49,0.81,60,74,3,3,1.0,5,0,771.0,27,36,13,13,0,0,0,3,0,0,40,46,Charles Rosa,0,5,10,0.5,12,17,0,0,,0,0,0.0,2,7,1,1,2,2,4,8,0,0,1,2
UFC 142: Aldo vs Mendes,Rousimar Palhares,0,4,8,0.5,4,8,0,1,0.0,1,0,1.0,0,3,0,0,4,5,4,7,0,1,0,0,Mike Massenzio,0,0,6,0.0,0,6,0,0,,0,0,2.0,0,5,0,0,0,1,0,6,0,0,0,0
UFC 254: Khabib vs. Gaethje,Stefan Struve,0,13,19,0.68,13,19,0,1,0.0,0,0,0.0,4,6,4,8,5,5,13,19,0,0,0,0,Tai Tuivasa,1,27,42,0.64,48,63,0,0,,0,0,104.0,15,28,4,4,8,10,14,28,10,11,3,3
UFC 229: Khabib vs. McGregor,Michelle Waterson,0,76,107,0.71,131,163,0,4,0.0,0,0,169.0,47,73,26,29,3,5,16,41,34,38,26,28,Felice Herrig,0,51,100,0.51,70,126,1,4,0.25,0,0,358.0,15,51,26,36,10,13,19,60,30,37,2,3
UFC 76: Knockout,Rich Clementi,0,12,24,0.5,43,57,1,2,0.5,2,1,162.0,9,18,0,1,3,5,5,15,1,3,6,6,Anthony Johnson,1,22,50,0.44,25,54,1,2,0.5,3,1,143.0,15,41,5,6,2,3,7,28,4,7,11,15
